video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=oA_3PQy-X6o&pp=ygUMYW50aS1zZW1pdGlj,/@thesun,The Sun,Massive protest against anti-semitism draws thousands in London,74K,1 month,"Tens of thousands have attended a march against antisemitism in London, as the crowd heard that the Jewish community will “not ...",2024-01-23 19:29:19.701072
/watch?v=8-tHT2XQmvw&pp=ygUMYW50aS1zZW1pdGlj,/@CBSMiami,CBS Miami,Arrest Made In Anti-Semitic BB Gun Attacks In New York,2.2K,1 year,Hate crimes are on the rise in New York City and new NYPD data shows a lot of them are anti-Semitic. Details: ...,2024-01-23 19:29:19.702827
/watch?v=15R1d85rM0c&pp=ygUMYW50aS1zZW1pdGlj,/@dwnews,DW News,Anti-Semitism on the rise in Germany | DW News,109K,4 years,The German government has released new figures showing that the number of anti-Semitic crimes committed has risen by almost ...,2024-01-23 19:29:19.704232
/watch?v=Tw8Wr1j8G-E&pp=ygUMYW50aS1zZW1pdGlj,/@ABC10,ABC10,"Investigation into anti-semitic fliers in Sacramento, county areas",888,7 months,"Investigation into anti-semitic fliers in Sacramento, county areas The Sacramento County Sheriff's Office and the Sacramento ...",2024-01-23 19:29:19.705621
/watch?v=CZy4jCvF8yg&pp=ygUMYW50aS1zZW1pdGlj,/@7news,7NEWS Australia,Melbourne’s Jewish community claims ‘People of Balaclava’ mural is anti-Semitic | 7 News Australia,12K,2 months,Port Phillip Council is under fire in a fierce storm over a ratepayer-funded mural. Melbourne's Jewish community claims the work is ...,2024-01-23 19:29:19.706942
/watch?v=9xDjKNL90nE&pp=ygUMYW50aS1zZW1pdGlj,/@cbssf,KPIX | CBS NEWS BAY AREA,Oakland cafe workers off the job after confrontation over anti-Semitic graffiti,27K,1 month,Max Darrow reports on three cafe workers who had confrontation with woman over anti-Semitic graffiti being out of a job ...,2024-01-23 19:29:19.708215
/watch?v=r7UjsrwwF2Y&pp=ygUMYW50aS1zZW1pdGlj,/@WPLGLocal10,WPLG Local 10,Man caught on video yelling anti-Semitic slurs at Jews outside synagogues in Broward,7K,2 months,Police are investigating after they said a man hurled profanities at Jewish people outside of synagogues in Hallandale Beach and ...,2024-01-23 19:29:19.709550
/watch?v=mUXLFErCIqU&pp=ygUMYW50aS1zZW1pdGlj,/@SkyNewsAustralia,Sky News Australia,New York Post exposes ‘disturbed radicals’ arrogantly spreading anti-Semitism,641K,2 months,Sky News Digital Editor Jack Houghton has applauded the New York Post for putting a spotlight on the “disturbed radicals” who ...,2024-01-23 19:29:19.710806
/watch?v=G2uVD3d0tW0&pp=ygUMYW50aS1zZW1pdGlj,/@6abcActionNews,6abc Philadelphia,Suspect wanted for yelling anti-Semitic slurs at man in Center City: Police,1K,7 months,A victim says a man yelled anti-Semitic slurs at him in Center City Philadelphia as he was walking with his daughter.,2024-01-23 19:29:19.712183
/watch?v=t7l-ikw5UcA&pp=ygUMYW50aS1zZW1pdGlj,/@IsraelEnglishNews,ILTV Israel News,March Against Anti-Semitism In London,25K,1 month,Thousands gather in London for a march protesting against the surging levels of anti-Semitism across the United Kingdom.,2024-01-23 19:29:19.713871
/watch?v=D9LMZbZlfPo&pp=ygUMYW50aS1zZW1pdGlj,/@CBNnewsonline,CBN News,Attacks on Israel Causing Security Concerns Amid Rise in Anti-Semitic Rhetoric in US,96K,3 months,"A leader of Hamas is calling for a Global Day of Jihad, Friday, causing Jewish communities worldwide to brace for potential ...",2024-01-23 19:29:19.715256
/watch?v=9O3N1HadPPA&pp=ygUMYW50aS1zZW1pdGlj,/@LateNightSeth,Late Night with Seth Meyers,David Baddiel Argues that Anti-Semitism Is Racism in Jews Don't Count,247K,2 years,"Comedian and writer David Baddiel talks about writing a football anthem that has set a record in England, discusses ...",2024-01-23 19:29:19.717230
/watch?v=cZFH-drN55Y&pp=ygUMYW50aS1zZW1pdGlj,/@WPLGLocal10,WPLG Local 10,"Anti-Semitic slurs prompt students' fight, witnesses say",15K,11 months,There was violence on a soccer field Wednesday night during a 2023 Boys Soccer State Championship Tournament game ...,2024-01-23 19:29:19.718579
/watch?v=xHZ-Dvv2cN4&pp=ygUMYW50aS1zZW1pdGlj,/@6abcActionNews,6abc Philadelphia,"Elon Musk apologizes for antisemitic tweet, slams advertisers",9.6K,1 month,Elon Musk apologized for what he called his 'dumbest' ever social media post but lashed out at advertisers leaving his platform.,2024-01-23 19:29:19.720296
/watch?v=Wz9bRGfQG5g&pp=ygUMYW50aS1zZW1pdGlj,/@Foxla,FOX 11 Los Angeles,Kanye West locked out of Twitter after anti-semitic tweet,314K,1 year,A Twitter spokesperson confirmed that West's account has been locked for violating Twitter policies. The tweet in question has ...,2024-01-23 19:29:19.721805
