video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/c5tWYj_Y60w,/@CNN,CNN,Gaza towers collapse after explosion,3.7M,3 months,"Two towers in Gaza City, which host media offices and residential apartments, collapsed after they were hit by an airstrike.",2024-01-21 05:52:42.069114
/watch?v=ZI5CCnL-ZZE&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Journalist questions bombing of Gaza university | Al Jazeera Newsfeed,95K,1 day,It's not troubling to you?” A reporter questions the US State Department about Israeli justification for destroying Israa University in ...,2024-01-21 05:52:42.074013
/watch?v=E2vfdbLz9zk&pp=ygUEZ2F6YQ%3D%3D,/@NBCNews,NBC News,A story of survival: 13-year-old takes care of seven siblings amid the war in Gaza,103K,1 day,"Mohammad Al Yazji lost his mother in an Israeli airstrike, and the fate of his father is still unknown. As the eldest, the 13-year-old is ...",2024-01-21 05:52:42.079811
/shorts/g0o1QQzANl8,/@ajplus,AJ+,#Israeli forces buried Palestinians alive in occupied #Gaza witnesses say,828K,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-21 05:52:42.085729
/shorts/aGPk3a1Qv3E,/@trtworld,TRT World,Gaza doctor forced to amputate daughter’s leg without anaesthesia,388K,3 days,My daughter; I am amputating her leg without anaesthesia.” A Palestinian doctor named Hani Bseiso was forced to amputate the ...,2024-01-21 05:52:42.094892
/watch?v=xtGo2NFXGm8&pp=ygUEZ2F6YQ%3D%3D,/@TheYoungTurks,The Young Turks,CNN Witnesses Israeli Forces Desecrating Graves In Gaza,185K,1 day,CNN correspondent Jeremy Diamond discovered several grave sites totally desecrated and ruined by IDF forces. Cenk Uygur ...,2024-01-21 05:52:52.566559
/watch?v=RfFEkxvAhiE&pp=ygUEZ2F6YQ%3D%3D,/@CNN,CNN,CNN witnessed first-hand results of Israel's bulldozing of graveyards in Gaza,216K,2 days,CNN correspondent Jeremy Diamond shows the damage left to cemeteries in Gaza after Israeli forces bulldozed and uprooted ...,2024-01-21 05:52:52.570137
/shorts/xI5GoPhvQ7o,/@ajplus,AJ+,This miracle baby was pulled from a bombed house in #Gaza,7.2M,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-21 05:52:52.578379
/watch?v=yx6tkDOo9Dg&pp=ygUEZ2F6YQ%3D%3D,/@MiddleEastEye,Middle East Eye,Israeli reservist contradicts military’s narrative on Gaza,154K,8 days,The Israeli army is telling great stories in the media… But the situation on the ground was different.” An Israeli reservist says in a ...,2024-01-21 05:52:52.581626
/shorts/hwYSH3vWCGE,/@ajplus,AJ+,"UN estimates 1,000 children in Gaza have lost their limbs due to Israel's attacks",532K,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-21 05:52:52.584681
/watch?v=gsutyfbVLrw&pp=ygUEZ2F6YQ%3D%3D,/@MiddleEastEye,Middle East Eye,Bisan from Gaza broadcasts her experience during the siege and bombardment of Nasser Hospital.,42K,2 days,"I can't go anywhere.” Bisan from Gaza, a journalist who has been providing the world with non-stop coverage inside Gaza, ...",2024-01-21 05:52:52.587773
/watch?v=JyiIfNu8cAo&pp=ygUEZ2F6YQ%3D%3D,/@TheProjectTV,The Project,Israeli PM Refuses To Create Palestinian State,5K,1 day,"Israeli Prime Minister Benjamin Netanyahu has said he will not accept the establishment of a Palestinian state, putting Israel at ...",2024-01-21 05:52:52.590646
/watch?v=fZ84By3i1T8&pp=ygUEZ2F6YQ%3D%3D,/@ajplus,AJ+,"‘It’s Bisan From Gaza, And People Were Tortured At The Indonesian Hospital’",85K,2 days,Video journalist Bisan Owda brings us exclusive eyewitness testimonies from survivors she spoke to in December who described ...,2024-01-21 05:52:52.593482
